,Общая,Жилая,Кухня,Этаж,Тип жилья,Планировка,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Балкон/лоджия,Вид из окон,Отделка,Цена,Комнат,Район,Линк,Построен,Срок сдачи,Санузел,Высота потолков,Ремонт
1546,47,30,,4,Вторичка,,,1 балкон,На улицу,,3570000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245908969/,1965,,1 совмещенный,"2,5 м",
1547,62,,,5,Вторичка,,,1 балкон,,,5500000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/244290838/,1957,,,,Дизайнерский
1548,87,,,11,Вторичка,Изолированная,,,,,6390000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243020657/,,,,,Косметический
1549,19,,,6,Вторичка,,,1 балкон,,,3550000,"Студия,",р-н Вахитовский,https://kazan.cian.ru/sale/flat/244464424/,2016,,,,
1550,38,19,9,10,Вторичка,,19 м²,,Во двор,,4000000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244615592/,,,,,
1551,30,13,5,2,Новостройка,,,1 балкон,Во двор,Черновая,2880000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/244146560/,,,1 совмещенный,,
1552,37,22,6,4,Новостройка,,,,,,3700000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/243902890/,,,,,
1553,24,,,1,Вторичка,,,1 балкон,,,1475000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245865956/,1966,,,,
1554,33,,,5,Вторичка,,,1 балкон,,,3350000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245001791/,1997,,,,Косметический
1555,52,28,9,5,Вторичка,Изолированная,,1 лоджия,Во двор,,4500000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245984735/,1995,,1 раздельный,,Косметический
1556,53,27,9,7,Вторичка,Изолированная,"16,3+11,6 м²",1 лоджия,На улицу,,4600000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/237006688/,1976,,1 раздельный,,Косметический
1557,75,41,11,7,Новостройка,Изолированная,11.9-14.5-14.8 м²,1 балкон,,Черновая,7508000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244581179/,,,1 раздельный,,
1558,125,77,16,3,Вторичка,Изолированная,,1 балкон,Во двор,,11900000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/243673594/,2016,,"1 совмещенный, 2 раздельных",,Без ремонта
1559,57,37,6,4,Новостройка,,19+18 м²,1 лоджия,На улицу и двор,Черновая,13148642,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/222784301/,,4,"1 совмещенный, 1 раздельный",,
1560,84,44,10,14,Вторичка,Изолированная,20.9-11.9-11.7 м²,"1 балкон, 1 лоджия",Во двор,,7300000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243912720/,,,1 раздельный,,Евроремонт
1561,38,,,1,Вторичка,,,1 балкон,,,3800000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243974792/,1989,,,,Косметический
1562,36,17,9,8,Вторичка,,,1 лоджия,,,4100000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241181583/,2016,,,"2,8 м",
1563,45,15,,7,Вторичка,,,1 балкон,На улицу,,4750000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/246014286/,2018,,1 совмещенный,"2,8 м",Евроремонт
1564,42,27,9,1,Вторичка,Изолированная,,,Во двор,,2290000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/234566127/,1965,,1 совмещенный,,
1565,30,12,5,11,Новостройка,,12.76 м²,1 балкон,,,4022680,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/235308749/,,4,1 совмещенный,,
1566,34,,12,8,Вторичка,,,,,,4300000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245972504/,,,,,Без ремонта
1567,39,,,4,Вторичка,,,,На улицу,,1750000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244324167/,1988,,1 совмещенный,,Косметический
1568,63,,,11,Вторичка,,,1 лоджия,На улицу и двор,,5999000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244979067/,2015,,1 раздельный,2 м,Косметический
1569,90,65,20,16,Вторичка,,,1 балкон,,,13500000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/243267001/,2013,,,"3,3 м",
1570,36,,,7,Новостройка,,,1 лоджия,,Нет,3500000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/243141464/,,3,,,
1571,66,40,8,5,Вторичка,,,1 лоджия,,,5100000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245712907/,1987,,,0 м,
1572,65,,15,10,Вторичка,Изолированная,,1 балкон,На улицу и двор,,6999000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245876441/,2011,,1 раздельный,,Евроремонт
1573,77,49,14,14,Вторичка,,,1 лоджия,Во двор,,7400000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244280174/,1992,,1 совмещенный,"2,7 м",Косметический
1574,68,,,9,Вторичка,,,1 балкон,,,6999000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244092178/,2017,,,,
1575,13,,,2,Вторичка,,,1 балкон,,,1350000,"Студия,",р-н Приволжский,https://kazan.cian.ru/sale/flat/244424922/,1974,,,,
1576,43,20,5,5,Вторичка,Смежно-изолированная,"14,2-16,00 м²",1 балкон,На улицу и двор,,3500000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/232549116/,1971,,1 совмещенный,,Косметический
1577,54,,,12,Новостройка,,,1 балкон,,,6500000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244464429/,,,,,
1578,73,37,17,2,Вторичка,,,1 лоджия,,,6990000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/226733045/,2005,,,"2,65 м",
1579,62,37,13,10,Вторичка,,20+17 м²,1 лоджия,На улицу,,5500000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/217891015/,2002,,2 раздельных,,Косметический
1580,50,30,7,5,Вторичка,,16-14 м²,1 балкон,На улицу и двор,,3800000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/240975629/,1955,,,"2,48 м",Косметический
1581,125,75,,2,Новостройка,,75.20 м²,2 балкона,,,11845844,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/224561616/,,4,"1 совмещенный, 1 раздельный","2,85 м",
1582,49,,,5,Вторичка,,,1 балкон,,,3740000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/239806111/,1965,,,,Косметический
1583,42,20,10,15,Вторичка,,,1 балкон,Во двор,,4980000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/246042313/,2017,,1 раздельный,"2,8 м",Евроремонт
1584,60,40,6,2,Вторичка,,,,,,3630000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240360281/,,,,,
1585,70,40,20,8,Вторичка,Изолированная,22+18 м²,1 балкон,На улицу,,6800000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/230796994/,2009,,1 совмещенный,"2,5 м",Евроремонт
1586,89,,,9,Вторичка,,,1 балкон,На улицу и двор,,6999999,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244610711/,2010,,1 раздельный,,Косметический
1587,44,,6,1,Вторичка,,,1 балкон,,,3380000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244774333/,1969,,,,Без ремонта
1588,78,,11,7,Вторичка,,,1 балкон,,,5350000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243853009/,2003,,,,Косметический
1589,66,42,9,2,Вторичка,Изолированная,18-12-12 м²,1 балкон,На улицу и двор,,5000000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/240780248/,,,1 раздельный,,Косметический
1590,78,,,9,Вторичка,,,1 балкон,,,8400000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/243127180/,2015,,,,Без ремонта
1591,64,43,7,8,Вторичка,Изолированная,21-13-10 м²,2 лоджии,На улицу и двор,,5195999,3-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245651519/,1977,,1 раздельный,,Косметический
1592,31,,,5,Вторичка,,,1 балкон,,,3100000,"Студия,",р-н Авиастроительный,https://kazan.cian.ru/sale/flat/243965956/,,,,,Косметический
1593,83,,,3,Вторичка,,,1 лоджия,Во двор,,6550000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244505193/,2008,,1 раздельный,"2,5 м",Евроремонт
1594,25,,,17,Новостройка,,,1 балкон,,,2215000,"Студия,",р-н Приволжский,https://kazan.cian.ru/sale/flat/244424921/,,,,,
1595,54,20,7,2,Вторичка,,,,,,4450000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244730590/,,,,,
1596,34,30,3,3,Вторичка,,30 м²,1 балкон,Во двор,,3850000,"Студия,",р-н Кировский,https://kazan.cian.ru/sale/flat/244931943/,2017,,1 совмещенный,,Косметический
1597,46,31,10,5,Новостройка,Изолированная,12-19 м²,1 балкон,Во двор,Нет,4220000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/197166570/,,,1 совмещенный,,
1598,46,,,1,Вторичка,,,,,,3800000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/235694024/,1962,,,,Косметический
1599,69,,,7,Вторичка,,,1 балкон,Во двор,,8685000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245337496/,2012,,1 раздельный,,Евроремонт
1600,110,60,21,10,Вторичка,,,"2 балкона, 1 лоджия",,,8500000,3-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/235774344/,2007,,,"2,7 м",
1601,18,18,,3,Вторичка,,,,Во двор,,1470000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242308541/,2005,,,,Евроремонт
1602,35,12,11,7,Новостройка,,12.8 м²,,Во двор,,3801600,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/226355659/,,3,1 совмещенный,,
1603,30,12,8,12,Новостройка,,12 м²,1 балкон,Во двор,Нет,3400000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245469670/,,,1 совмещенный,,
1604,105,56,12,5,Вторичка,Изолированная,,2 балкона,На улицу,,8900000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/223458832/,2011,,2 раздельных,,Дизайнерский
1605,56,32,11,17,Вторичка,,,1 балкон,,,5720000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245144142/,2017,,1 раздельный,,
1606,34,10,12,7,Новостройка,,,1 балкон,,Нет,3399000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240651043/,,1,1 совмещенный,,
1607,84,,,8,Вторичка,,,1 балкон,,,7600000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/231374709/,,,,,Косметический
1608,12,,,5,Вторичка,,,1 балкон,,,1150000,"Студия,",р-н Вахитовский,https://kazan.cian.ru/sale/flat/232787976/,1980,,,,
1609,81,48,7,9,Новостройка,,,2 балкона,На улицу и двор,Черновая,6395000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/239012640/,,3,1 совмещенный,,
1610,120,,29,10,Новостройка,,,2 балкона,На улицу и двор,Черновая,10650000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/238263385/,,4,"2 совмещенных, 1 раздельный",,
1611,88,58,11,20,Вторичка,Изолированная,19-19-20 м²,1 балкон,На улицу и двор,,6999000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240148023/,2018,,1 раздельный,"2,8 м",Без ремонта
1612,52,29,10,2,Вторичка,Изолированная,29 м²,,Во двор,,4540000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/242377700/,1937,,1 раздельный,,Евроремонт
1613,24,12,5,9,Новостройка,,12 м²,"1 балкон, 1 лоджия",Во двор,Черновая,2055000,"Студия,",р-н Приволжский,https://kazan.cian.ru/sale/flat/244861013/,,,1 совмещенный,,
1614,31,14,8,17,Новостройка,,14.9 м²,1 балкон,Во двор,Черновая,3000000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241817296/,,,1 совмещенный,,
1615,70,,15,3,Вторичка,Изолированная,,"2 балкона, 1 лоджия",,,7100000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/238053801/,,,,,Без ремонта
1616,61,,,2,Вторичка,,,1 балкон,,,3859000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/239887969/,,,,,Косметический
1617,50,27,11,2,Вторичка,Изолированная,"15,3-11,7 м²",1 лоджия,На улицу и двор,,7300000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244324186/,2019,,1 раздельный,"2,75 м",Дизайнерский
1618,53,,,4,Новостройка,,,,,,5723346,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/241527172/,,2,,,
1619,90,,,10,Вторичка,Изолированная,,"1 балкон, 1 лоджия",На улицу и двор,,8300000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/232341208/,2008,,1 раздельный,"2,5 м",Дизайнерский
1620,29,15,8,2,Вторичка,,15 м²,1 лоджия,Во двор,,3070000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245445338/,1984,,1 совмещенный,,Косметический
1621,54,,,11,Новостройка,,,,,,5650000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245969128/,,,,,
1622,82,33,22,6,Вторичка,Изолированная,17.6-15.6 м²,,На улицу и двор,,6599000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/233723072/,2003,,1 совмещенный,"3,2 м",Евроремонт
1623,67,,,1,Вторичка,,,,,,5605000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245042280/,2002,,1 раздельный,,Косметический
1624,35,17,8,9,Вторичка,,,1 балкон,,,3899000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243471422/,2003,,,,Косметический
1625,54,,,4,Вторичка,,,1 балкон,,,6490000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/237022667/,1957,,,,
1626,45,17,11,7,Вторичка,,,1 балкон,На улицу,,4750000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245861722/,2012,,1 совмещенный,"2,5 м",Евроремонт
1627,43,,,3,Вторичка,,,"1 балкон, 1 лоджия",На улицу и двор,,2750000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245475880/,1974,,1 раздельный,"2,7 м",Без ремонта
1628,86,,,7,Вторичка,,,1 лоджия,,,9750000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240953344/,2015,,,,
1629,51,22,10,1,Вторичка,,,1 лоджия,Во двор,,3570000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243388080/,2010,,,"3,2 м",Косметический
1630,123,84,,4,Вторичка,,,1 балкон,Во двор,,8570000,5-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244116645/,,,1 раздельный,,Косметический
1631,25,20,,4,Вторичка,Изолированная,"12,8 м²",,Во двор,,1700000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/240883672/,1982,,,"2,48 м",Косметический
1632,54,18,18,17,Новостройка,Изолированная,,,Во двор,Черновая,5430000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/242440693/,,,1 совмещенный,,
1633,50,28,9,9,Вторичка,,"16,6+11,7 м²",1 лоджия,,,4500000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245486044/,1975,,,"2,5 м",Евроремонт
1634,76,30,16,11,Новостройка,,,1 балкон,,Чистовая,6300000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240331933/,,1,1 совмещенный,,
1635,60,42,6,5,Вторичка,Изолированная,"19,7+11,3+10,4 м²",1 балкон,Во двор,,3630000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245597012/,1962,,1 совмещенный,,Косметический
1636,103,56,,15,Вторичка,,16-23-17 м²,2 лоджии,,,9373000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/243123654/,,,2 раздельных,,Без ремонта
1637,54,38,7,8,Вторичка,Смежно-изолированная,16-11-11 м²,1 балкон,На улицу и двор,,4360000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243799599/,1974,,1 совмещенный,"2,6 м",Косметический
1638,30,13,5,8,Новостройка,,,1 лоджия,На улицу и двор,,3890000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244603862/,,4,1 совмещенный,,
1639,30,,,3,Вторичка,,,1 балкон,,,3220000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245001725/,1963,,,,
1640,33,,,2,Вторичка,,,,,,2990000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/232961503/,,,,,
1641,100,62,35,2,Новостройка Апартаменты,Изолированная,14-28-20 м²,,На улицу и двор,,17637823,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/242552556/,,,1 совмещенный,3 м,
1642,105,88,12,8,Вторичка,,,1 балкон,,,9700000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245643767/,2008,,,0 м,
1643,87,47,13,24,Вторичка,Изолированная,17-18-12 м²,2 балкона,Во двор,,6900000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244453786/,,,2 совмещенных,,Евроремонт
1644,45,22,12,2,Вторичка,,,1 балкон,,,4700000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245951892/,1987,,,"2,7 м",
1645,69,,,1,Вторичка,,,,,,5125000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244098470/,,,,,Косметический
1646,53,24,13,6,Вторичка,,,1 балкон,,,5100000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245700660/,2020,,,,Без ремонта
1647,42,,,8,Новостройка,,,,,,5090400,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/229432469/,,4,,,
1648,181,,,12,Вторичка Апартаменты,,,,Во двор,,39996000,4-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/156748506/,2012,,,3 м,Без ремонта
1649,51,,,2,Новостройка,,,,Во двор,Черновая,5100000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245277315/,,2,1 раздельный,,
1650,64,,,4,Вторичка,Смежно-изолированная,,1 лоджия,На улицу и двор,,5150000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244802215/,1990,,1 раздельный,,Евроремонт
1651,53,,,2,Вторичка,,,1 балкон,,,4600000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/231207502/,1998,,,,
1652,128,85,25,20,Вторичка,Изолированная,25-30 м²,,На улицу,,8690000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/237615347/,2016,,2 раздельных,"3,3 м",Без ремонта
1653,85,37,21,19,Вторичка,Изолированная,19.3-17.9 м²,1 балкон,На улицу,,11000000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/241076431/,,,2 совмещенных,,Дизайнерский
1654,35,13,10,7,Новостройка,,13 м²,1 лоджия,,,3499000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245330711/,,,1 совмещенный,,
1655,70,,,6,Вторичка,,,1 балкон,,,7100000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245629500/,2009,,,,
1656,17,,,3,Вторичка,,,,,,1260000,"Студия,",р-н Московский,https://kazan.cian.ru/sale/flat/235920957/,1973,,,,Косметический
1657,121,,15,12,Вторичка,Изолированная,,1 балкон,На улицу,,13116760,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243731147/,,,"1 совмещенный, 1 раздельный",3 м,Без ремонта
1658,34,,,1,Вторичка,,,1 балкон,,,2400000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245700658/,1998,,,,
1659,39,20,8,11,Вторичка,,,1 лоджия,Во двор,,4602500,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243761171/,,,1 совмещенный,,Без ремонта
1660,66,32,11,4,Вторичка,Изолированная,,1 балкон,,,6800000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245489842/,,,1 раздельный,,
1661,31,17,6,2,Вторичка,,17 м²,,Во двор,,2700000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/243727275/,1948,,,3 м,Косметический
1662,44,27,,4,Вторичка,,,1 балкон,На улицу и двор,,2499000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/238980426/,,,,"2,7 м",
1663,70,40,10,8,Вторичка,,,1 балкон,,,5100000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/237599135/,1988,,1 раздельный,,
1664,62,42,11,4,Вторичка,Изолированная,,1 лоджия,На улицу и двор,,5380000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/242715475/,1984,,1 раздельный,,Косметический
1665,46,20,10,7,Вторичка,,,1 балкон,,,4500000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244996204/,,,,,
1666,68,48,10,6,Вторичка,Изолированная,,1 лоджия,На улицу и двор,,4950000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/246014310/,1982,,1 раздельный,,Без ремонта
1667,12,12,,3,Вторичка,,12 м²,,Во двор,,750000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245581988/,1975,,2 раздельных,,Евроремонт
1668,30,18,,1,Вторичка,,18.4 м²,,,,2300000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245922260/,1958,,1 раздельный,,Без ремонта
1669,132,78,30,4,Вторичка,Изолированная,,,,,25100000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244451257/,1999,,1 раздельный,,
1670,44,,,2,Вторичка,,,1 балкон,,,2750000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245745483/,1972,,,,Без ремонта
1671,40,16,9,22,Вторичка,,,1 лоджия,На улицу,,4599000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245901807/,,,1 совмещенный,"2,7 м",Косметический
1672,50,29,8,5,Вторичка,Изолированная,,1 балкон,Во двор,,5550000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245866835/,1996,,1 раздельный,,Евроремонт
1673,72,,,3,Вторичка,,,1 балкон,,,7600000,3-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/244887557/,2010,,,,
1674,72,37,15,8,Вторичка,Изолированная,,1 балкон,,,7000000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/228797876/,2009,,1 раздельный,,Евроремонт
1675,120,80,20,2,Вторичка,,,1 балкон,,,8200000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/239870766/,,,,,Косметический
1676,88,52,14,2,Вторичка,,,1 лоджия,,,7650593,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244743930/,2020,,1 совмещенный,"2,8 м",Без ремонта
1677,53,27,10,2,Новостройка,,11+16 м²,1 лоджия,На улицу и двор,,5000000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/232154714/,,1,1 раздельный,,
1678,70,45,12,4,Вторичка,,,1 лоджия,,,7440000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/234716409/,2017,,,"2,8 м",
1679,135,84,14,7,Вторичка,Смежно-изолированная,,"3 балкона, 1 лоджия",,,18500000,4-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245562457/,2008,,2 раздельных,,Косметический
1680,70,40,9,1,Вторичка,Изолированная,,2 лоджии,,,4900000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244989626/,1986,,1 раздельный,,Косметический
1681,33,,,4,Вторичка,,,1 балкон,На улицу,,3400000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245409913/,2020,,1 совмещенный,,Без ремонта
1682,32,14,5,6,Новостройка,,"14,64 м²",1 балкон,,,4247100,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243308947/,,4,,,
1683,15,12,,1,Вторичка,,,,На улицу,,1300000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/230474875/,1968,,1 совмещенный,"2,5 м",Косметический
1684,62,36,15,2,Вторичка,Смежная,,1 балкон,,,4300000,3-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245829321/,1972,,1 раздельный,"2,48 м",Косметический
1685,123,69,17,17,Новостройка,Изолированная,27.1-19.1-23.2 м²,1 балкон,,Черновая,12286369,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244513727/,,,1 раздельный,,
1686,60,36,15,14,Вторичка,,,,На улицу,,11690000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243238527/,,,,"2,75 м",Дизайнерский
1687,66,24,,6,Вторичка,,67 м²,,,,11716250,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/239129862/,,,,,Без ремонта
1688,42,25,6,4,Вторичка,,,1 балкон,,,3590000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243033469/,1966,,,"2,7 м",
1689,30,,,14,Новостройка,,,1 балкон,,,3280000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241409457/,,,,,
1690,50,,12,5,Вторичка,,,2 лоджии,На улицу,,5400000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245032931/,2008,,1 совмещенный,,Евроремонт
1691,34,11,11,9,Новостройка,,,1 балкон,На улицу,Нет,4000000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243620520/,,4,1 совмещенный,,
1692,70,43,8,6,Вторичка,,"17,5 + 12,5 + 13,5 м²",1 лоджия,На улицу и двор,,5900000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245200363/,1979,,1 раздельный,"2,6 м",Евроремонт
1693,94,55,15,2,Вторичка,Изолированная,,1 балкон,,,7552000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/241458524/,,,1 раздельный,,Косметический
1694,58,33,11,10,Вторичка,,,1 балкон,,,5720000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243930253/,2018,,,,Косметический
1695,48,,,6,Вторичка,,,1 балкон,,,4390000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245745480/,2019,,,,Без ремонта
1696,63,49,6,1,Вторичка,,,,,,5300000,3-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/243890528/,1975,,,"2,48 м",Косметический
1697,79,41,16,5,Вторичка,,,1 лоджия,,,7800000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245575116/,2006,,,"2,8 м",
1698,38,11,16,12,Новостройка,,,1 лоджия,На улицу и двор,Черновая,5060530,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/239664870/,,1,1 совмещенный,,
1699,81,42,10,1,Вторичка,,,"1 балкон, 1 лоджия",,,5300000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240690902/,2011,,,0 м,
1700,62,49,9,2,Вторичка,,,1 балкон,,,4200000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242457728/,,,,,Косметический
1701,33,17,8,8,Вторичка,,17 м²,1 лоджия,На улицу,,3500000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244797528/,1993,,1 совмещенный,"2,7 м",Без ремонта
1702,37,19,9,5,Вторичка,,,1 балкон,,,4570000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/243481288/,2018,,,"2,7 м",
